,album_type,total_tracks,href,id,images,name,release_date,release_date_precision,type,uri,artists,album_group,external_urls.spotify,Album_ID,Producer,Producer_ID
0,album,12,https://api.spotify.com/v1/albums/0Rkv5iqjF2uenfL0OVB8hg,0Rkv5iqjF2uenfL0OVB8hg,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026404721c1943d5069f0805f3', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516404721c1943d5069f0805f3', 'height': 64, 'width': 64}]",Aashiqui 2,2013-04-06,day,album,spotify:album:0Rkv5iqjF2uenfL0OVB8hg,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",appears_on,https://open.spotify.com/album/0Rkv5iqjF2uenfL0OVB8hg,0Rkv5iqjF2uenfL0OVB8hg,Mithoon,09UmIX92EUH9hAK4bxvHx6
1,album,9,https://api.spotify.com/v1/albums/2Lxoc72vRTGdQfMvj7Ovi1,2Lxoc72vRTGdQfMvj7Ovi1,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02707ea5b8023ac77d31756ed4', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851707ea5b8023ac77d31756ed4', 'height': 64, 'width': 64}]",Yeh Jawaani Hai Deewani,2013-03-30,day,album,spotify:album:2Lxoc72vRTGdQfMvj7Ovi1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",appears_on,https://open.spotify.com/album/2Lxoc72vRTGdQfMvj7Ovi1,2Lxoc72vRTGdQfMvj7Ovi1,Pritam,1wRPtKGflJrBx9BmLsSwlU
2,album,8,https://api.spotify.com/v1/albums/0a183xiCHiC1GQd8ou7WXO,0a183xiCHiC1GQd8ou7WXO,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735f3ede47954a93aa03efe5f9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025f3ede47954a93aa03efe5f9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515f3ede47954a93aa03efe5f9', 'height': 64, 'width': 64}]",ANIMAL,2023-11-24,day,album,spotify:album:0a183xiCHiC1GQd8ou7WXO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3pQ4aA7dkolyjUAMrVScgh'}, 'href': 'https://api.spotify.com/v1/artists/3pQ4aA7dkolyjUAMrVScgh', 'id': '3pQ4aA7dkolyjUAMrVScgh', 'name': 'Manan Bhardwaj', 'type': 'artist', 'uri': 'spotify:artist:3pQ4aA7dkolyjUAMrVScgh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5wJ1H6ud777odtZl5gG507'}, 'href': 'https://api.spotify.com/v1/artists/5wJ1H6ud777odtZl5gG507', 'id': '5wJ1H6ud777odtZl5gG507', 'name': 'Vishal Mishra', 'type': 'artist', 'uri': 'spotify:artist:5wJ1H6ud777odtZl5gG507'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5gZhfbckaWo89OzDSk3gdT'}, 'href': 'https://api.spotify.com/v1/artists/5gZhfbckaWo89OzDSk3gdT', 'id': '5gZhfbckaWo89OzDSk3gdT', 'name': 'Jaani', 'type': 'artist', 'uri': 'spotify:artist:5gZhfbckaWo89OzDSk3gdT'}]",appears_on,https://open.spotify.com/album/0a183xiCHiC1GQd8ou7WXO,0a183xiCHiC1GQd8ou7WXO,Manan Bhardwaj,3pQ4aA7dkolyjUAMrVScgh
3,album,16,https://api.spotify.com/v1/albums/0LcyzKKw3RjFKL6ygISTeU,0LcyzKKw3RjFKL6ygISTeU,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739bb2d30b01ac2cada8a8ad03', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029bb2d30b01ac2cada8a8ad03', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519bb2d30b01ac2cada8a8ad03', 'height': 64, 'width': 64}]",Ek Tha Raja,2024-03-18,day,album,spotify:album:0LcyzKKw3RjFKL6ygISTeU,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1'}, 'href': 'https://api.spotify.com/v1/artists/0y59o4v8uw5crbN9M3JiL1', 'id': '0y59o4v8uw5crbN9M3JiL1', 'name': 'Badshah', 'type': 'artist', 'uri': 'spotify:artist:0y59o4v8uw5crbN9M3JiL1'}]",appears_on,https://open.spotify.com/album/0LcyzKKw3RjFKL6ygISTeU,0LcyzKKw3RjFKL6ygISTeU,Badshah,0y59o4v8uw5crbN9M3JiL1
4,album,6,https://api.spotify.com/v1/albums/7sVzilmsqYcLMYw2gtvoZM,7sVzilmsqYcLMYw2gtvoZM,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b0f9ceb59927ab76fe6269be', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b0f9ceb59927ab76fe6269be', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b0f9ceb59927ab76fe6269be', 'height': 64, 'width': 64}]",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),2015-05-21,day,album,spotify:album:7sVzilmsqYcLMYw2gtvoZM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5ugsiK49gIkIVh8U93EO0z'}, 'href': 'https://api.spotify.com/v1/artists/5ugsiK49gIkIVh8U93EO0z', 'id': '5ugsiK49gIkIVh8U93EO0z', 'name': 'Ami Mishra', 'type': 'artist', 'uri': 'spotify:artist:5ugsiK49gIkIVh8U93EO0z'}]",appears_on,https://open.spotify.com/album/7sVzilmsqYcLMYw2gtvoZM,7sVzilmsqYcLMYw2gtvoZM,Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl
5,compilation,9,https://api.spotify.com/v1/albums/3uuu6u13U0KeVQsZ3CZKK4,3uuu6u13U0KeVQsZ3CZKK4,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c5545f737b16ad5ee767b62a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c5545f737b16ad5ee767b62a', 'height': 64, 'width': 64}]",Kabir Singh,2019-06-14,day,album,spotify:album:3uuu6u13U0KeVQsZ3CZKK4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1SyKki7JI1AZNKwgNMkn25'}, 'href': 'https://api.spotify.com/v1/artists/1SyKki7JI1AZNKwgNMkn25', 'id': '1SyKki7JI1AZNKwgNMkn25', 'name': 'Sachet-Parampara', 'type': 'artist', 'uri': 'spotify:artist:1SyKki7JI1AZNKwgNMkn25'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5wJ1H6ud777odtZl5gG507'}, 'href': 'https://api.spotify.com/v1/artists/5wJ1H6ud777odtZl5gG507', 'id': '5wJ1H6ud777odtZl5gG507', 'name': 'Vishal Mishra', 'type': 'artist', 'uri': 'spotify:artist:5wJ1H6ud777odtZl5gG507'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}]",appears_on,https://open.spotify.com/album/3uuu6u13U0KeVQsZ3CZKK4,3uuu6u13U0KeVQsZ3CZKK4,Sachet-Parampara,1SyKki7JI1AZNKwgNMkn25
6,album,9,https://api.spotify.com/v1/albums/5xjaz957o6YGSXmlfd2tex,5xjaz957o6YGSXmlfd2tex,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273bca30634e6cad10b97c03d21', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02bca30634e6cad10b97c03d21', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851bca30634e6cad10b97c03d21', 'height': 64, 'width': 64}]",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,day,album,spotify:album:5xjaz957o6YGSXmlfd2tex,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",appears_on,https://open.spotify.com/album/5xjaz957o6YGSXmlfd2tex,5xjaz957o6YGSXmlfd2tex,Pritam,1wRPtKGflJrBx9BmLsSwlU
7,album,11,https://api.spotify.com/v1/albums/6IXfWhC7omotM4lt0ROmEr,6IXfWhC7omotM4lt0ROmEr,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02095191f6b96fd9eff585befc', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851095191f6b96fd9eff585befc', 'height': 64, 'width': 64}]",Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14,day,album,spotify:album:6IXfWhC7omotM4lt0ROmEr,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",appears_on,https://open.spotify.com/album/6IXfWhC7omotM4lt0ROmEr,6IXfWhC7omotM4lt0ROmEr,Pritam,1wRPtKGflJrBx9BmLsSwlU
8,album,8,https://api.spotify.com/v1/albums/4ahg47diWPOQ6d6C8e6PHI,4ahg47diWPOQ6d6C8e6PHI,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734c74beed966d2f38aa298c57', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024c74beed966d2f38aa298c57', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514c74beed966d2f38aa298c57', 'height': 64, 'width': 64}]",Badlapur (Original Motion Picture Soundtrack),2014-12-09,day,album,spotify:album:4ahg47diWPOQ6d6C8e6PHI,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO'}, 'href': 'https://api.spotify.com/v1/artists/1mBydYMVBECdDmMfE2sEUO', 'id': '1mBydYMVBECdDmMfE2sEUO', 'name': 'Sachin-Jigar', 'type': 'artist', 'uri': 'spotify:artist:1mBydYMVBECdDmMfE2sEUO'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6q29t5RuXxlBuqIZsOMQss'}, 'href': 'https://api.spotify.com/v1/artists/6q29t5RuXxlBuqIZsOMQss', 'id': '6q29t5RuXxlBuqIZsOMQss', 'name': 'Priya Saraiya', 'type': 'artist', 'uri': 'spotify:artist:6q29t5RuXxlBuqIZsOMQss'}]",appears_on,https://open.spotify.com/album/4ahg47diWPOQ6d6C8e6PHI,4ahg47diWPOQ6d6C8e6PHI,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO
9,album,11,https://api.spotify.com/v1/albums/1RNEvKlb3YovuiE8Gw5VOO,1RNEvKlb3YovuiE8Gw5VOO,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fc8c4535825cdc0bcafde19a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fc8c4535825cdc0bcafde19a', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fc8c4535825cdc0bcafde19a', 'height': 64, 'width': 64}]",Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,day,album,spotify:album:1RNEvKlb3YovuiE8Gw5VOO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Qol2r2jehhR5yKbmk1Dg4'}, 'href': 'https://api.spotify.com/v1/artists/3Qol2r2jehhR5yKbmk1Dg4', 'id': '3Qol2r2jehhR5yKbmk1Dg4', 'name': 'Niladri Kumar', 'type': 'artist', 'uri': 'spotify:artist:3Qol2r2jehhR5yKbmk1Dg4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1UdYhDdrXVNJMAKghjdU6v'}, 'href': 'https://api.spotify.com/v1/artists/1UdYhDdrXVNJMAKghjdU6v', 'id': '1UdYhDdrXVNJMAKghjdU6v', 'name': 'Joi Barua', 'type': 'artist', 'uri': 'spotify:artist:1UdYhDdrXVNJMAKghjdU6v'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/745oUlBO0YnhDcFIXS3SPL'}, 'href': 'https://api.spotify.com/v1/artists/745oUlBO0YnhDcFIXS3SPL', 'id': '745oUlBO0YnhDcFIXS3SPL', 'name': 'Alif', 'type': 'artist', 'uri': 'spotify:artist:745oUlBO0YnhDcFIXS3SPL'}]",appears_on,https://open.spotify.com/album/1RNEvKlb3YovuiE8Gw5VOO,1RNEvKlb3YovuiE8Gw5VOO,Niladri Kumar,3Qol2r2jehhR5yKbmk1Dg4
