Track_Artists,duration_ms,id,Track_Name,Album_ID,total_tracks,Album_Name,release_date,Album_Artists,Producer,Producer_ID,_merge,Popularity,Lyrics
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",261974,56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both,74,"
[Verse 1]
हम तेरे बिन अब रह नहीं सकते
तेरे बिना क्या वजूद मेरा?
हम तेरे बिन अब रह नहीं सकते
तेरे बिना क्या वजूद मेरा?
तुझसे जुदा अगर हो जाएँगे
तो ख़ुद से ही हो जाएँगे जुदा

[Chorus]
क्योंकि तुम ही हो, अब तुम ही हो
ज़िंदगी अब तुम ही हो
चैन भी, मेरा दर्द भी
मेरी आशिक़ी अब तुम ही हो

[Instrumental Break]

[Verse 2]
तेरा-मेरा रिश्ता है कैसा?
एक पल दूर गवारा नहीं
तेरे लिए हर रोज़ हैं जीते
तुझ को दिया मेरा वक्त सभी

[Pre-Chorus]
कोई लमहा मेरा ना हो तेरे बिना
हर साँस पे नाम तेरा"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/76fuWYgIf3TVIopTs3vaJ6'}, 'href': 'https://api.spotify.com/v1/artists/76fuWYgIf3TVIopTs3vaJ6', 'id': '76fuWYgIf3TVIopTs3vaJ6', 'name': 'Amaal Mallik', 'type': 'artist', 'uri': 'spotify:artist:76fuWYgIf3TVIopTs3vaJ6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0T1CMVkqffHlqEk4BcAph1'}, 'href': 'https://api.spotify.com/v1/artists/0T1CMVkqffHlqEk4BcAph1', 'id': '0T1CMVkqffHlqEk4BcAph1', 'name': 'Tulsi Kumar', 'type': 'artist', 'uri': 'spotify:artist:0T1CMVkqffHlqEk4BcAph1'}]",281322,6mTvwBzWTGDOVeCNQEqtOE,Soch Na Sake,1IwC3SdQXPgXSs8FLvOUju,5,Airlift,2015-12-17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/76fuWYgIf3TVIopTs3vaJ6'}, 'href': 'https://api.spotify.com/v1/artists/76fuWYgIf3TVIopTs3vaJ6', 'id': '76fuWYgIf3TVIopTs3vaJ6', 'name': 'Amaal Mallik', 'type': 'artist', 'uri': 'spotify:artist:76fuWYgIf3TVIopTs3vaJ6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}]",Amaal Mallik,76fuWYgIf3TVIopTs3vaJ6,both,73,"ਤੈਨੂੰ ਇਤਨਾ ਮੈਂ ਪਿਆਰ ਕਰਾਂ
ਇਕ ਪਲ ਵਿਚ ੧੦੦ ਬਾਰ ਕਰਾਂ
ਤੂੰ ਜਾਵੇ ਜੇ ਮੈਨੂੰ ਛੱਡ ਕੇ
ਮੌਤ ਦਾ ਇੰਤਜ਼ਾਰ ਕਰਾਂ
के तेरे लिए दुनिया छोड़ दी है
तुझपे ही साँस आके रुके
मैं तुझको कितना चाहता हूँ
ये तू कभी सोच ना सके
तेरे लिए दुनिया छोड़ दी है
तुझपे ही साँस आके रुके
मैं तुझको कितना चाहता हूँ
ये तू कभी सोच ना सके
कुछ भी नहीं है ये जहाँ
तू है तो है इसमें ज़िन्दगी
कुछ भी नहीं है ये जहाँ
तू है तो है इसमें ज़िन्दगी
अब मुझको जाना है कहाँ?
के तू ही सफ़र है आख़िरी
के तेरे बिना जीना मुमकिन नहीं
ना देना कभी मुझको तू फ़ासले
मैं तुझको कितना चाहती हूँ
ये तू कभी सोच ना सके"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1'}, 'href': 'https://api.spotify.com/v1/artists/0y59o4v8uw5crbN9M3JiL1', 'id': '0y59o4v8uw5crbN9M3JiL1', 'name': 'Badshah', 'type': 'artist', 'uri': 'spotify:artist:0y59o4v8uw5crbN9M3JiL1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",213599,1tf2iody5iRLYYPDSBpzRc,Soulmate,0LcyzKKw3RjFKL6ygISTeU,16,Ek Tha Raja,2024-03-18,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1'}, 'href': 'https://api.spotify.com/v1/artists/0y59o4v8uw5crbN9M3JiL1', 'id': '0y59o4v8uw5crbN9M3JiL1', 'name': 'Badshah', 'type': 'artist', 'uri': 'spotify:artist:0y59o4v8uw5crbN9M3JiL1'}]",Badshah,0y59o4v8uw5crbN9M3JiL1,both,73,"
[Badshah & Arijit Singh ""Soulmate"" के बोल]

[Intro: Arijit Singh]
""दिन"" को ""रात"" कहेगी तो मैं ""रात"" कहूँ
तेरा दिल दुखा दे जो, ऐसी ना बात करूँ
एक शिकन भी माथे पे ना आए, मेरी जान
ले लूँगा तेरी सारी बलाएँ मेरी जान

[Chorus: Arijit Singh]
तेरी आई, मैं ਮਰਜਾਵਾਂ, जिंदगी नाम तेरे कर ਜਾਵਾਂ
ਸੋਹਣਿਆ, ओ ਸੋਹਣਿਆ
तेरी आई, मैं ਮਰਜਾਵਾਂ, जिंदगी नाम तेरे कर ਜਾਵਾਂ
ਸੋਹਣਿਆ, ओ ਸੋਹਣਿਆ

[Verse 1: Badshah]
क्या वो मोहब्बत, जिसका हिसाब लग जाए
बोले वो तो लगे के रब्बा बचाए
लड़ मरेंगे लोग, आग लग जाए
चेहरे से तेरे जो नक़ाब हट जाए
हो सवाल कोई भी, तू जवाब लगे
बचपन की कहानी, तू कोई ख़्वाब लगे
तेरा दिल जो दुखाए, उसे पाप लगे
प्यारी इतनी तू मुझे पंजाब लगे
वो फराज़ की किताब पढ़ती है, वो तितलियाँ साथ रखती है
मेरी दुनिया आबाद लगती है, जब कंधे पर मेरे वो हाथ रखती है
इस प्यार को खोने नहीं दूँगा, तुझे खुद से जुदा मैं कभी होने नहीं दूँगा
खुशी के आंसू और बात है लेकिन तुझको मैं वैसे कभी रोने नहीं दूंगा"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO'}, 'href': 'https://api.spotify.com/v1/artists/1mBydYMVBECdDmMfE2sEUO', 'id': '1mBydYMVBECdDmMfE2sEUO', 'name': 'Sachin-Jigar', 'type': 'artist', 'uri': 'spotify:artist:1mBydYMVBECdDmMfE2sEUO'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2fMqTqiTxUDlmcOEPaQSsx'}, 'href': 'https://api.spotify.com/v1/artists/2fMqTqiTxUDlmcOEPaQSsx', 'id': '2fMqTqiTxUDlmcOEPaQSsx', 'name': 'Amitabh Bhattacharya', 'type': 'artist', 'uri': 'spotify:artist:2fMqTqiTxUDlmcOEPaQSsx'}]",261702,1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,1pw0xzpe4O0OMohBwau50L,5,Bhediya ,2022-12-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1mBydYMVBECdDmMfE2sEUO'}, 'href': 'https://api.spotify.com/v1/artists/1mBydYMVBECdDmMfE2sEUO', 'id': '1mBydYMVBECdDmMfE2sEUO', 'name': 'Sachin-Jigar', 'type': 'artist', 'uri': 'spotify:artist:1mBydYMVBECdDmMfE2sEUO'}]",Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,both,73,"
[Chorus: Arijit Singh]
तू मेरा कोई ना होके भी कुछ लागे
तू मेरा कोई ना होके भी कुछ लागे
किया रे जो भी तूने, कैसे किया रे?
जिया को मेरे बाँध ऐसे लिया रे
समझ के भी ना समझ मैं सकूँ
सवेरों का मेरे तू सूरज लागे
तू मेरा कोई ना होके भी कुछ लागे
तू मेरा कोई ना होके भी कुछ लागे
तू मेरा कोई ना होके भी कुछ लागे

[Post-Chorus: Choir, Arijit Singh]
अपना बना ले, पिया, अपना बना ले, पिया
अपना बना ले मुझे, अपना बना ले, पिया
अपना बना ले, पिया, अपना बना ले, पिया
दिल के नगर में शहर तू बसा ले, पिया

[Instrumental-Break]

[Verse 1: Arijit Singh]
छूने से तेरे, हाँ, तेरे, हाँ, तेरे
फीकी रुतों को रंग लगे
Mmm, छूने से तेरे, हाँ, तेरे, हाँ, तेरे
फीकी रुतों को रंग लगे
तेरी दिशा में क्यूँ चलने से मेरे
पैरों को पंख लगे?
रहा ना मेरे काम का जग सारा
हो बस तेरे नाम से ही गुज़ारा
उलझ के यूँ ना सुलझ मैं सकूँ"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",247941,1smFN2CLqGROu0J0UyvDfL,Shayad,6IXfWhC7omotM4lt0ROmEr,11,Love Aaj Kal ,2020-02-14,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both,72,"
[Verse 1]
शायद कभी ना कह सकूँ मैं तुमको
कहे बिना समझ लो तुम शायद
शायद मेरे ख़याल में तुम एक दिन
मिलो मुझे कहीं पे गुम शायद

[Pre-Chorus]
जो तुम ना हो, रहेंगे हम नहीं
जो तुम ना हो, रहेंगे हम नहीं
ना चाहिए कुछ तुमसे ज़्यादा, तुमसे कम नहीं

[Chorus]
जो तुम ना हो तो हम भी हम नहीं
जो तुम ना हो तो हम भी हम नहीं
ना चाहिए कुछ तुमसे ज़्यादा, तुमसे कम नहीं

[Verse 2]
आँखों को ख़्वाब देना
ख़ुद ही सवाल करके ख़ुद ही जवाब देना तेरी तरफ़ से
बिन काम काम करना
जाना कहीं हो चाहे, हर बार ही गुज़रना तेरी तरफ़ से

[Pre-Chorus]
ये कोशिशें तो होंगी कम नहीं
ये कोशिशें तो होंगी कम नहीं
ना चाहिए कुछ तुमसे ज़्यादा, तुमसे कम नहीं"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/19LIHDDSHBD5NyYHI3gpzB'}, 'href': 'https://api.spotify.com/v1/artists/19LIHDDSHBD5NyYHI3gpzB', 'id': '19LIHDDSHBD5NyYHI3gpzB', 'name': 'Shilpa Rao', 'type': 'artist', 'uri': 'spotify:artist:19LIHDDSHBD5NyYHI3gpzB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0m3D4grap8VFSzbJMqgNVk'}, 'href': 'https://api.spotify.com/v1/artists/0m3D4grap8VFSzbJMqgNVk', 'id': '0m3D4grap8VFSzbJMqgNVk', 'name': 'Kumaar', 'type': 'artist', 'uri': 'spotify:artist:0m3D4grap8VFSzbJMqgNVk'}]",200373,3xMHXmedL5Rvfxmiar9Ryv,Chaleya,3WLJmMZUeDOuERFAk1Mxs6,7,Jawan,2023-09-05,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,both,71,"
[Intro]
इश्क़ में दिल बना है
इश्क़ में दिल फ़ना है
मिटा दे या बना दे
मैंने तुझको चुना है

[Verse 1]
तेरे सारे रंग ओढ़ के, ढंग ओढ़ के
तेरा हुआ मैं सब को छोड़ के
इश्क़ नहीं करना नाप-तोल के, राज़ खोल के
आया हूँ मैं सब को बोल के

[Chorus]
ਓ, ਮੈਂ ਤਾਂ ਚੱਲਿਆ ਤੇਰੀ ਓਰ, ਤੇਰਾ ਚੱਲਿਆ ਹੈ ਜ਼ੋਰ
ਤੇਰਾ ਹੋਇਆ ਮੈਂ, ਯਾਰ ਵੇ, ਭੁੱਲਿਆ ਏ ਸੰਸਾਰ ਵੇ
ਚੱਲਿਆ ਤੇਰੀ ਓਰ, ਤੇਰਾ ਚੱਲਿਆ ਹੈ ਜ਼ੋਰ
ਤੇਰਾ ਹੋਇਆ ਮੈਂ, ਯਾਰ ਵੇ, ਭੁੱਲਿਆ ਏ ਸੰਸਾਰ ਵੇ

[Post-Chorus]
जग तेरे लिए छोड़िया, दिल तेरे संग जोड़िया
अब तेरा मैं तो हो गया, पाके तुझे मैं खो गया
जग तेरे लिए छोड़िया, छोड़िया
दिल तेरे संग जोड़िया, जोड़िया
अब तेरा मैं तो हो गया, हो गया
पाके तुझे मैं खो गया, खो गया, हाँ"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",243578,6FjbAnaPRPwiP3sciEYctO,Raabta,2DqQ34i4uuuZWTScsGIgHr,12,Agent Vinod,2012-02-24,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both,71,"कहते हैं, ""ख़ुदा ने इस जहाँ में सभी के लिए
किसी ना किसी को है बनाया हर किसी के लिए""
तेरा मिलना है उस रब का इशारा
मानो मुझको बनाया तेरे जैसे ही किसी के लिए
कहते हैं, ""ख़ुदा ने इस जहाँ में सभी के लिए
किसी ना किसी को है बनाया हर किसी के लिए""
तेरा मिलना है उस रब का इशारा
मानो मुझको बनाया तेरे जैसे ही किसी के लिए
कुछ तो है तुझसे राब्ता
कुछ तो है तुझसे राब्ता
कैसे हम जानें? हमें क्या पता
कुछ तो है तुझसे राब्ता
तू हमसफ़र है, फिर क्या फ़िकर है?
जीने की वजह यही है, मरना इसी के लिए
कहते हैं, ""ख़ुदा ने इस जहाँ में सभी के लिए
किसी ना किसी को है बनाया हर किसी के लिए""
मेहरबानी जाते-जाते मुझपे कर गया
गुज़रता सा लम्हा एक दामन भर गया
तेरा नज़ारा मिला, रोशन सितारा मिला
तक़दीर की कश्तियों को किनारा मिला
सदियों से तरसे हैं जैसी ज़िंदगी के लिए
तेरी सोहबत में दुआएँ हैं उसी के लिए
तेरा मिलना है उस रब का इशारा
मानो मुझको बनाया तेरे जैसे ही किसी के लिए"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",398799,3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),7sVzilmsqYcLMYw2gtvoZM,6,Hamari Adhuri Kahani ,2015-05-21,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5ugsiK49gIkIVh8U93EO0z'}, 'href': 'https://api.spotify.com/v1/artists/5ugsiK49gIkIVh8U93EO0z', 'id': '5ugsiK49gIkIVh8U93EO0z', 'name': 'Ami Mishra', 'type': 'artist', 'uri': 'spotify:artist:5ugsiK49gIkIVh8U93EO0z'}]",Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl,both,71,"
[Intro]
पास आए, दूरियाँ फिर भी कम ना हुईं
एक अधूरी सी हमारी कहानी रही

[Verse 1]
आसमाँ को ज़मीं ये ज़रूरी नहीं
जान ले, जान ले
इश्क़ सच्चा वही जिसको मिलती नहीं
मंज़िलें, मंज़िलें
रंग थे, नूर था, जब क़रीब तू था
एक जन्नत सा था ये जहाँ
वक्त की रेत पे कुछ मेरे नाम सा
लिख के छोड़ गया तू कहाँ?

[Chorus]
हमारी अधूरी कहानी, हमारी अधूरी कहानी
हमारी अधूरी कहानी, हमारी अधूरी कहानी

[Verse 2]
ख़ुशबुओं से तेरी यूँ ही टकरा गए
चलते-चलते देखो ना हम कहाँ आ गए
जन्नतें 'गर यहीं, तू दिखे क्यूँ नहीं?
चाँद-सूरज सभी हैं यहाँ
इंतज़ार तेरा सदियों से कर रहा
प्यासी बैठी है कब से यहाँ"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",289999,0l6g8Z8mqGbGXFOjigYetD,Hawayein,4I39l0YJ7tmSBXZGZamN5E,13,Jab Harry Met Sejal ,2017-08-03,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both,70,"
[Verse 1]
तुझको मैं रख लूँ वहाँ
जहाँ पे कहीं है मेरा यक़ीं
मैं जो तेरा ना हुआ
किसी का नहीं, किसी का नहीं

[Chorus]
ले जाएँ जाने कहाँ हवाएँ, हवाएँ
ले जाएँ तुझे कहाँ हवाएँ, हवाएँ?
बेगानी हैं ये बाग़ी हवाएँ, हवाएँ
ले जाएँ मुझे कहाँ हवाएँ, हवाएँ?
ले जाएँ जाने कहाँ
ना मुझको ख़बर, ना तुझको पता

[Post-Chorus]
ओ-ओ-ओ, हवाएँ-हवाएँ
ओ-ओ-ओ, हवाएँ-हवाएँ
ओ-ओ-ओ, हवाएँ-हवाएँ
ओ-ओ-ओ, हवाएँ-हवाएँ

[Instrumental Break]

[Verse 2]
बनाती है जो तू वो यादें जाने संग मेरे कब तक चलें
इन्हीं में तो मेरी सुबह भी ढले, शामें ढलें, मौसम ढलें
ख़यालों का शहर, तू जाने तेरे होने से ही आबाद है
हवाएँ हक़ में वो ही हैं आते-जाते जो तेरा नाम लें"
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3GdSQUH1BRtl9UrrtuwJlP'}, 'href': 'https://api.spotify.com/v1/artists/3GdSQUH1BRtl9UrrtuwJlP', 'id': '3GdSQUH1BRtl9UrrtuwJlP', 'name': 'Irshad Kamil', 'type': 'artist', 'uri': 'spotify:artist:3GdSQUH1BRtl9UrrtuwJlP'}]",233453,6bmmHeCvZI92pRiTHxEdTC,O Maahi,6mOSDGo8ZREISAbaiTMW5J,8,Dunki,2023-12-20,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both,70,"
[Refrain]
O, maahi ve
O, maahi ve

[Intro: Arijit Singh]
Maahi mainu chhaddeyo naa
Ke tere bin dil nahio lagna
Jithe vi tu chalna ae
Maahi main tere piche-piche chalna

[Pre-Chorus 1: Arijit Singh]
Tu jee sakdi nai, main jee sakda nai
Koi doosri main shartan vi rakhda nai
Kya tere baajon mera?

[Chorus 1: Arijit Singh &
Asees Kaur
]
Sacchiyan mohabbatan ve
O, maahi kithe hor nahio milna
Hor nahio milna
Jithe vi tu chaleya haan
Maahi main tere piche-piche chalna
Pichhe-pichhe chaleya

[Instrumental-break]

[Refrain]
O, maahi ve
O, maahi ve"
